PRODUCT,DRAW NUMBER,SEQUENCE NUMBER,DRAW DATE,NUMBER DRAWN 1,NUMBER DRAWN 2,NUMBER DRAWN 3,NUMBER DRAWN 4,NUMBER DRAWN 5,NUMBER DRAWN 6,BONUS NUMBER
649,1,0,12/6/82,3,11,12,14,41,43,13
649,2,0,19/6/82,8,33,36,37,39,41,9
649,3,0,26/6/82,1,6,23,24,27,39,34
649,4,0,3/7/82,3,9,10,13,20,43,34
649,5,0,10/7/82,5,14,21,31,34,47,45
649,6,0,17/7/82,8,20,21,25,31,41,33
649,7,0,24/7/82,18,25,28,33,36,42,7
649,8,0,31/7/82,7,16,17,31,40,48,26
649,9,0,7/8/82,5,10,23,27,37,38,33
649,10,0,14/8/82,4,15,30,37,46,48,3
649,11,0,21/8/82,7,9,21,33,38,42,45
649,12,0,28/8/82,11,17,19,20,36,43,9
649,13,0,4/9/82,7,14,17,20,37,47,34
649,14,0,11/9/82,25,28,29,30,35,44,3
649,15,0,18/9/82,8,18,36,39,41,47,31
649,16,0,25/9/82,9,12,13,14,44,48,18
649,17,0,2/10/82,4,14,18,40,43,44,5
649,18,0,9/10/82,13,16,18,34,35,36,26
649,19,0,16/10/82,11,23,25,28,29,36,27
649,20,0,23/10/82,7,18,23,25,37,45,39
649,21,0,30/10/82,11,18,19,31,37,45,41
649,22,0,6/11/82,8,14,16,18,31,48,45
649,23,0,13/11/82,4,11,23,24,25,45,41
649,24,0,20/11/82,3,4,19,33,34,48,39
649,25,0,27/11/82,5,17,21,28,30,43,36
649,26,0,4/12/82,6,17,24,36,38,46,29
649,27,0,11/12/82,4,9,10,11,43,46,3
649,28,0,18/12/82,7,13,23,32,33,45,36
649,29,0,25/12/82,11,18,22,28,35,37,42
649,30,0,1/1/83,25,26,31,35,45,48,12
649,31,0,8/1/83,11,19,25,31,32,36,44
649,32,0,15/1/83,8,34,37,39,41,47,18
649,33,0,22/1/83,5,10,30,35,36,45,13
649,34,0,29/1/83,8,22,26,27,34,42,14
649,35,0,5/2/83,3,5,6,33,38,39,8
649,36,0,12/2/83,10,14,25,31,44,47,17
649,37,0,19/2/83,11,13,15,16,24,31,9
649,38,0,26/2/83,11,12,19,25,29,44,48
649,39,0,5/3/83,2,7,21,22,30,33,3
649,40,0,12/3/83,11,15,25,38,41,43,37
649,41,0,19/3/83,2,10,11,31,43,49,29
649,42,0,26/3/83,21,24,25,32,39,49,40
649,43,0,2/4/83,4,10,23,38,41,46,43
649,44,0,9/4/83,20,24,28,35,42,46,27
649,45,0,16/4/83,1,3,19,31,32,47,37
649,46,0,23/4/83,3,17,20,30,35,48,26
649,47,0,30/4/83,18,26,29,35,36,49,25
649,48,0,7/5/83,2,13,41,42,44,47,12
649,49,0,14/5/83,7,10,11,16,28,40,6
649,50,0,21/5/83,6,7,10,32,36,38,46
649,51,0,28/5/83,2,29,31,40,45,48,41
649,52,0,4/6/83,4,14,24,31,33,35,29
649,53,0,11/6/83,7,19,26,28,45,49,34
649,54,0,18/6/83,9,19,28,36,45,46,3
649,55,0,25/6/83,4,11,14,20,26,30,39
649,56,0,2/7/83,5,9,27,39,40,43,17
649,57,0,9/7/83,16,19,22,29,44,48,31
649,58,0,16/7/83,11,14,18,31,35,49,42
649,59,0,23/7/83,22,23,25,26,35,41,39
649,60,0,30/7/83,3,6,7,33,34,36,15
649,61,0,6/8/83,9,11,27,28,37,46,29
649,62,0,13/8/83,1,2,8,23,46,48,20
649,63,0,20/8/83,9,12,20,21,37,43,49
649,64,0,27/8/83,9,16,18,20,26,43,38
649,65,0,3/9/83,1,6,13,15,22,27,10
649,66,0,10/9/83,23,30,32,33,35,44,2
649,67,0,17/9/83,9,21,22,29,48,49,28
649,68,0,24/9/83,1,6,15,34,42,44,49
649,69,0,1/10/83,1,15,20,22,24,49,40
649,70,0,8/10/83,13,23,37,43,48,49,27
649,71,0,15/10/83,2,3,23,26,27,40,4
649,72,0,22/10/83,8,14,25,32,34,35,16
649,73,0,29/10/83,1,5,7,8,11,13,3
649,74,0,5/11/83,18,20,23,26,33,49,31
649,75,0,12/11/83,1,2,7,13,22,31,5
649,76,0,19/11/83,4,14,16,30,33,38,22
649,77,0,26/11/83,3,12,16,21,33,49,44
649,78,0,3/12/83,3,5,19,26,32,43,30
649,79,0,10/12/83,1,14,22,25,40,42,19
649,80,0,17/12/83,7,9,20,28,35,41,16
649,81,0,24/12/83,1,2,13,21,42,48,7
649,82,0,31/12/83,7,22,25,27,30,35,45
649,83,0,7/1/84,1,7,14,31,41,43,12
649,84,0,14/1/84,2,12,29,31,44,46,40
649,85,0,21/1/84,1,5,14,24,25,38,27
649,86,0,28/1/84,15,24,27,32,34,49,25
649,87,0,4/2/84,20,26,28,30,45,48,25
649,88,0,11/2/84,22,29,36,44,46,47,24
649,89,0,18/2/84,4,12,16,31,44,48,41
649,90,0,25/2/84,23,27,40,43,44,47,33
649,91,0,3/3/84,13,26,27,38,46,47,6
649,92,0,10/3/84,2,17,41,42,44,47,29
649,93,0,17/3/84,6,26,28,36,37,48,23
649,94,0,24/3/84,8,27,28,29,43,44,15
649,95,0,31/3/84,12,19,22,23,29,36,25
649,96,0,7/4/84,13,27,35,38,44,47,21
649,97,0,14/4/84,3,12,31,33,45,49,6
649,98,0,21/4/84,8,13,16,18,19,49,11
649,99,0,28/4/84,16,24,25,28,32,44,2
649,100,0,5/5/84,1,5,6,18,31,35,3
649,101,0,12/5/84,6,16,19,20,25,43,40
649,102,0,19/5/84,1,4,14,17,21,26,31
649,103,0,26/5/84,1,3,40,43,45,46,7
649,104,0,2/6/84,9,16,31,38,43,45,5
649,105,0,9/6/84,6,17,29,32,39,40,47
649,106,0,16/6/84,26,27,37,41,43,45,13
649,107,0,23/6/84,7,16,28,34,45,47,23
649,108,0,30/6/84,13,15,27,28,40,48,30
649,109,0,7/7/84,6,11,20,23,25,35,37
649,110,0,14/7/84,6,16,26,28,41,49,34
649,111,0,21/7/84,2,7,34,36,37,40,15
649,112,0,28/7/84,2,5,29,35,37,38,39
649,113,0,4/8/84,1,10,18,27,35,38,30
649,114,0,11/8/84,5,6,10,20,40,43,26
649,115,0,18/8/84,12,13,15,35,38,39,4
649,116,0,25/8/84,5,11,12,16,24,28,34
649,117,0,1/9/84,3,24,27,33,41,44,4
649,118,0,8/9/84,23,25,29,38,39,43,17
649,119,0,15/9/84,7,8,10,15,31,37,43
649,120,0,22/9/84,4,11,12,16,36,43,30
649,121,0,29/9/84,21,22,29,36,38,41,20
649,122,0,6/10/84,5,10,26,31,37,44,7
649,123,0,13/10/84,3,14,24,31,35,46,17
649,124,0,20/10/84,5,10,11,28,41,44,19
649,125,0,27/10/84,1,16,25,36,39,42,5
649,126,0,3/11/84,6,7,17,21,43,49,8
649,127,0,10/11/84,20,22,27,34,44,48,41
649,128,0,17/11/84,8,35,44,46,48,49,22
649,129,0,24/11/84,5,30,34,36,43,49,17
649,130,0,1/12/84,3,14,18,25,36,45,30
649,131,0,8/12/84,7,13,24,31,39,40,8
649,132,0,15/12/84,9,12,16,20,36,39,4
649,133,0,22/12/84,6,18,21,31,35,48,9
649,134,0,29/12/84,16,19,27,30,44,45,11
649,135,0,5/1/85,7,17,18,24,29,48,34
649,136,0,12/1/85,9,34,38,39,43,44,1
649,137,0,19/1/85,7,24,35,37,45,47,23
649,138,0,26/1/85,6,30,33,39,41,49,47
649,139,0,2/2/85,5,18,22,23,25,26,2
649,140,0,9/2/85,2,5,21,24,29,46,25
649,141,0,16/2/85,3,7,15,24,38,41,29
649,142,0,23/2/85,1,2,7,9,20,43,33
649,143,0,2/3/85,17,19,27,30,36,43,1
649,144,0,9/3/85,6,7,8,35,36,43,33
649,145,0,16/3/85,3,6,18,21,33,34,49
649,146,0,23/3/85,14,23,31,33,35,47,18
649,147,0,30/3/85,8,16,20,30,31,48,12
649,148,0,6/4/85,8,21,27,34,41,46,31
649,149,0,13/4/85,7,20,24,46,48,49,41
649,150,0,20/4/85,4,8,14,21,30,49,13
649,151,0,27/4/85,4,14,27,37,40,44,46
649,152,0,4/5/85,1,2,5,7,40,44,35
649,153,0,11/5/85,6,15,20,22,26,46,21
649,154,0,18/5/85,19,21,32,39,43,45,20
649,155,0,25/5/85,9,12,24,30,31,47,39
649,156,0,1/6/85,13,16,19,24,33,48,17
649,157,0,8/6/85,9,11,19,27,30,46,12
649,158,0,15/6/85,4,21,23,27,45,47,14
649,159,0,22/6/85,1,7,15,20,31,45,22
649,160,0,29/6/85,2,10,39,46,47,48,35
649,161,0,6/7/85,5,24,26,36,41,45,35
649,162,0,13/7/85,4,5,10,22,30,35,18
649,163,0,20/7/85,7,9,11,16,43,46,34
649,164,0,27/7/85,3,8,21,24,30,42,19
649,165,0,3/8/85,2,8,9,18,31,42,32
649,166,0,10/8/85,7,11,14,18,34,45,44
649,167,0,17/8/85,4,21,32,38,43,45,41
649,168,0,24/8/85,6,19,22,27,36,40,3
649,169,0,31/8/85,3,9,13,15,27,30,42
649,170,0,7/9/85,30,32,35,40,43,44,23
649,171,0,11/9/85,4,9,14,15,44,45,32
649,172,0,14/9/85,11,23,43,46,47,49,1
649,173,0,18/9/85,8,12,19,33,41,45,24
649,174,0,21/9/85,3,11,16,20,21,24,44
649,175,0,25/9/85,5,9,12,33,45,47,32
649,176,0,28/9/85,7,9,21,28,29,35,10
649,177,0,2/10/85,1,26,33,34,38,46,31
649,178,0,5/10/85,4,6,22,27,31,33,45
649,179,0,9/10/85,7,8,11,19,25,39,3
649,180,0,12/10/85,3,6,13,18,31,40,10
